,region,level of education,2016,2017,2018,2019,2020
0,01 Stockholm county,no information about level of educational attainment,36560,39554,42113,45984,47399
1,01 Stockholm county,post secondary education,739424,759083,780086,798639,815468
2,01 Stockholm county,primary and lower secondary education,254596,254036,254721,254916,254066
4,01 Stockholm county,upper secondary education,616508,619697,619102,618354,616364
5,03 Uppsala county,no information about level of educational attainment,3729,4244,4787,5272,5197
6,03 Uppsala county,post secondary education,109558,112371,115469,118174,120953
7,03 Uppsala county,primary and lower secondary education,42268,42370,42628,42881,42870
9,03 Uppsala county,upper secondary education,108123,109670,110174,111227,112009
10,04 Södermanland county,no information about level of educational attainment,2948,3272,3652,4038,4101
11,04 Södermanland county,post secondary education,57884,59369,60789,61865,62861
12,04 Södermanland county,primary and lower secondary education,44219,44216,44026,43941,43247
14,04 Södermanland county,upper secondary education,99780,100318,100339,100345,100476
15,05 Östergötland county,no information about level of educational attainment,4565,5140,5362,5643,5794
16,05 Östergötland county,post secondary education,113978,117283,119769,122180,124378
17,05 Östergötland county,primary and lower secondary education,61303,60755,60290,59371,58773
19,05 Östergötland county,upper secondary education,146831,147511,147327,147079,146892
20,06 Jönköping county,no information about level of educational attainment,3307,3777,4272,4682,4794
21,06 Jönköping county,post secondary education,73668,76040,78010,79460,81054
22,06 Jönköping county,primary and lower secondary education,53243,52619,52448,51969,51109
24,06 Jönköping county,upper secondary education,119861,120604,120544,120588,120561
25,07 Kronoberg county,no information about level of educational attainment,2361,2729,2948,3162,3111
26,07 Kronoberg county,post secondary education,43876,45130,46345,47125,47929
27,07 Kronoberg county,primary and lower secondary education,27167,26998,26866,26650,26309
29,07 Kronoberg county,upper secondary education,63769,64376,64708,64769,64865
30,08 Kalmar county,no information about level of educational attainment,2154,2536,2782,2937,3008
31,08 Kalmar county,post secondary education,49867,51128,52072,52687,53452
32,08 Kalmar county,primary and lower secondary education,35974,35808,35251,34464,33528
34,08 Kalmar county,upper secondary education,84277,84738,84386,84164,84087
35,09 Gotland county,no information about level of educational attainment,363,401,478,561,568
36,09 Gotland county,post secondary education,12583,12977,13230,13519,13895
37,09 Gotland county,primary and lower secondary education,8342,8231,8080,7870,7663
39,09 Gotland county,upper secondary education,21348,21246,21203,21159,21142
