,region,level of education,sex,2016,2017,2018,2019,2020
0,01 Stockholm county,no information about level of educational attainment,men,1830.4,1761.7,1854.4,1866.0,1926.7
1,01 Stockholm county,no information about level of educational attainment,women,960.2,965.8,962.8,1001.0,1015.9
2,01 Stockholm county,post secondary education,men,3593.8,3670.6000000000004,3782.9,3861.1,3955.4
3,01 Stockholm county,post secondary education,women,2633.6,2712.7,2782.9,2873.7,2915.2000000000003
4,01 Stockholm county,primary and lower secondary education,men,1895.7,1929.6999999999998,1970.2,1998.6,2011.7
5,01 Stockholm county,primary and lower secondary education,women,1404.6,1426.6,1451.5,1473.1,1475.1
8,01 Stockholm county,upper secondary education,men,2540.6,2596.2,2652.3,2701.6,2710.9
9,01 Stockholm county,upper secondary education,women,1995.8,2047.3000000000002,2095.4,2139.0,2151.1
10,03 Uppsala county,no information about level of educational attainment,men,1237.4,1321.1,1451.8,1406.8,1525.4
11,03 Uppsala county,no information about level of educational attainment,women,864.9,772.6,744.1,768.5,769.7
12,03 Uppsala county,post secondary education,men,3039.0,3105.0,3194.8,3226.2999999999997,3285.4
13,03 Uppsala county,post secondary education,women,2327.3,2397.7,2444.2,2519.7,2575.9
14,03 Uppsala county,primary and lower secondary education,men,1928.3,1948.8999999999999,1977.5,2026.4,2024.0
15,03 Uppsala county,primary and lower secondary education,women,1321.6,1334.1,1342.7,1364.8,1369.7
18,03 Uppsala county,upper secondary education,men,2441.4,2504.6,2565.6,2599.2,2619.0
19,03 Uppsala county,upper secondary education,women,1806.3000000000002,1855.7,1904.0,1939.9,1968.9
20,04 Södermanland county,no information about level of educational attainment,men,1077.1,1081.9,1148.8,1149.4,1086.7
21,04 Södermanland county,no information about level of educational attainment,women,574.4,556.4,556.1,570.6,561.8
22,04 Södermanland county,post secondary education,men,2850.6,2891.9,2962.8,3012.6,3060.7
23,04 Södermanland county,post secondary education,women,2181.3,2252.4,2313.4,2371.0,2439.4
24,04 Södermanland county,primary and lower secondary education,men,1740.1,1780.2,1842.5,1860.7,1870.5
25,04 Södermanland county,primary and lower secondary education,women,1201.2,1220.6,1236.3,1239.5,1249.5
28,04 Södermanland county,upper secondary education,men,2324.6,2392.0,2452.1,2491.4,2496.5
29,04 Södermanland county,upper secondary education,women,1770.1999999999998,1813.2,1858.8,1900.0,1922.7
30,05 Östergötland county,no information about level of educational attainment,men,1206.9,1050.0,1159.8,1145.1,1198.4
31,05 Östergötland county,no information about level of educational attainment,women,528.3,500.4,516.0,557.5,590.2
32,05 Östergötland county,post secondary education,men,2986.4,3039.2999999999997,3099.5,3172.1,3232.1
33,05 Östergötland county,post secondary education,women,2232.5,2266.4,2356.2,2400.8,2448.9
34,05 Östergötland county,primary and lower secondary education,men,1708.2,1752.8999999999999,1803.8,1846.3000000000002,1864.6
35,05 Östergötland county,primary and lower secondary education,women,1179.7,1200.2,1221.1,1245.6,1249.7
38,05 Östergötland county,upper secondary education,men,2318.8,2386.7,2447.0,2500.2,2515.0
39,05 Östergötland county,upper secondary education,women,1733.0,1775.6,1824.2,1871.4,1900.3
40,06 Jönköping county,no information about level of educational attainment,men,1180.8,1210.5,1210.2,1287.2,1279.9
41,06 Jönköping county,no information about level of educational attainment,women,632.2,613.1,627.5,652.3,683.9
42,06 Jönköping county,post secondary education,men,2841.5,2907.9,2987.6,3023.5,3063.4
43,06 Jönköping county,post secondary education,women,2193.9,2239.7,2306.0,2364.3,2399.6
44,06 Jönköping county,primary and lower secondary education,men,1915.6,1973.3,2032.0,2061.9,2065.1
45,06 Jönköping county,primary and lower secondary education,women,1290.6,1325.9,1357.9,1374.0,1369.3
48,06 Jönköping county,upper secondary education,men,2443.1,2510.0,2567.8,2605.4,2621.1
49,06 Jönköping county,upper secondary education,women,1799.0,1861.5,1911.0,1953.5,1967.8
50,07 Kronoberg county,no information about level of educational attainment,men,1302.9,1281.5,1292.8,1388.8,1379.5
51,07 Kronoberg county,no information about level of educational attainment,women,787.0,778.8,818.6999999999999,863.5,836.5
52,07 Kronoberg county,post secondary education,men,2758.7,2827.2,2886.6,2953.6,2988.4
53,07 Kronoberg county,post secondary education,women,2115.9,2192.3,2250.4,2300.2,2334.5
54,07 Kronoberg county,primary and lower secondary education,men,1852.2,1893.0,1947.0,1977.1,1985.2
55,07 Kronoberg county,primary and lower secondary education,women,1227.6999999999998,1244.3,1263.3,1272.0,1276.2
58,07 Kronoberg county,upper secondary education,men,2372.9,2439.6,2489.8,2534.5,2536.1
59,07 Kronoberg county,upper secondary education,women,1776.1999999999998,1822.3,1864.5,1909.6,1916.1
60,08 Kalmar county,no information about level of educational attainment,men,1040.9,1101.4,1129.7,1133.4,1096.2
61,08 Kalmar county,no information about level of educational attainment,women,562.6,588.8,627.4,621.3,659.7
62,08 Kalmar county,post secondary education,men,2717.6,2766.3,2848.3,2902.3,2950.5
63,08 Kalmar county,post secondary education,women,2094.6,2158.2,2217.1,2270.8,2309.8
64,08 Kalmar county,primary and lower secondary education,men,1794.6,1819.7,1874.5,1925.4,1957.7
65,08 Kalmar county,primary and lower secondary education,women,1253.5,1262.6,1274.2,1303.3,1322.6
68,08 Kalmar county,upper secondary education,men,2294.4,2360.6,2419.5,2466.7,2492.7
69,08 Kalmar county,upper secondary education,women,1735.8999999999999,1785.8,1832.3,1873.8,1911.3
70,09 Gotland county,no information about level of educational attainment,men,1314.7,1435.6,1447.4,1381.3,1230.3
71,09 Gotland county,no information about level of educational attainment,women,484.3,478.8,476.9,508.09999999999997,534.2
72,09 Gotland county,post secondary education,men,2488.2,2552.3,2628.8,2671.5,2752.8
73,09 Gotland county,post secondary education,women,2076.5,2131.6,2194.5,2262.3,2310.5
74,09 Gotland county,primary and lower secondary education,men,1645.2,1675.9,1736.7,1767.7,1778.9
75,09 Gotland county,primary and lower secondary education,women,1303.7,1321.6,1354.9,1381.4,1423.0
78,09 Gotland county,upper secondary education,men,2067.7,2156.2,2212.2,2252.6,2298.0
79,09 Gotland county,upper secondary education,women,1694.3,1748.2,1804.1,1849.8,1898.4
80,10 Blekinge county,no information about level of educational attainment,men,1154.2,1223.5,1260.6,1213.2,1258.0
81,10 Blekinge county,no information about level of educational attainment,women,634.6,582.0,580.9,603.3,649.0
82,10 Blekinge county,post secondary education,men,2732.4,2806.0,2884.0,2956.7,2998.5
83,10 Blekinge county,post secondary education,women,2122.7,2199.8,2252.8,2303.2,2353.0
84,10 Blekinge county,primary and lower secondary education,men,1719.1,1759.1,1798.5,1817.5,1849.8
85,10 Blekinge county,primary and lower secondary education,women,1225.5,1242.6,1260.7,1271.2,1307.4
88,10 Blekinge county,upper secondary education,men,2269.9,2357.2,2407.0,2455.3,2482.0
89,10 Blekinge county,upper secondary education,women,1740.8,1794.9,1834.0,1873.3,1903.6
