,year,region,Annual rent sqm,Avg yearly inc KSEK
0,2020,01 Stockholm county,1341,350.30370370370366
1,2020,03 Uppsala county,1303,306.91604938271604
2,2020,04 Södermanland county,1129,283.75679012345677
3,2020,05 Östergötland county,1144,289.5
4,2020,06 Jönköping county,1044,287.47037037037035
5,2020,07 Kronoberg county,1040,282.4246913580247
6,2020,08 Kalmar county,1008,278.19629629629634
7,2020,09 Gotland county,1120,270.56296296296296
8,2020,10 Blekinge county,1096,282.94444444444446
9,2020,12 Skåne county,1212,294.2456790123457
10,2020,13 Halland county,1155,304.25802469135806
11,2020,14 Västra Götaland county,1145,300.6320987654321
12,2020,17 Värmland county,1040,282.5074074074074
13,2020,18 Örebro county,1109,284.28765432098766
14,2020,19 Västmanland county,1102,292.141975308642
15,2020,20 Dalarna county,1031,283.0234567901235
16,2020,21 Gävleborg county,1031,279.9888888888889
17,2020,22 Västernorrland county,1065,288.46172839506175
18,2020,23 Jämtland county,994,278.11728395061726
19,2020,24 Västerbotten county,1045,289.5617283950617
20,2020,25 Norrbotten county,1002,298.49135802469135
